src,dst,sport,dport,protocol,prr,delay,rtt,fct,wpr
BRU_h0,MIL_h0,219,239,udp,0.9956043956043956,0.13561568173644062,,,
MIL_h0,ZAG_h0,217,237,udp,0.9995115995115995,0.008140434998624808,,,
HAM_h0,PRA_h0,218,238,udp,1.0,0.013358386823400327,,,
VIE_h0,ZAG_h0,60003,60003,udp,0.0,,,,
SIN_h0,MAD_h0,210,230,udp,1.0,0.008053932434473282,,,
LIS_h0,MAD_h0,201,221,udp,1.0,0.005461635286845858,,,
BIL_h0,PAR_h0,202,222,udp,0.9992673992673993,0.058774316240965095,,,
GEN_h0,PRA_h0,303,311,udp,1.0,0.022896396220701137,,,1.0
THE_h0,ZAG_h0,215,235,udp,1.0,0.008308136594164503,,,
LIS_h0,MAD_h0,60001,60001,udp,0.0,,,,
FRA_h0,LJU_h0,3,15,udp,0.014407814407814409,0.01820126226392843,,,
SIN_h0,POR_h0,209,229,udp,1.0,0.005609884133996835,,,
FRA_h0,LJU_h0,11,23,udp,0.01733821733821734,0.015913395814492668,,,
BEL_h0,SOF_h0,207,227,udp,1.0,0.002891857661898174,,,
MAR_h0,PRA_h0,101,113,udp,0.0,,,,
MAR_h0,PRA_h0,105,117,udp,0.0,,,,
AMS_h0,BUC_h0,302,310,udp,0.9987789987789988,0.04980350123640961,,,0.0
FRA_h0,BUD_h0,60011,60012,udp,0.0,,,,
LIS_h0,THE_h0,301,309,udp,1.0,0.04246037105476361,,,1.0
MAR_h0,PRA_h0,109,121,udp,0.0,,,,
BUC_h0,BEL_h0,213,233,udp,1.0,0.005809731128306034,,,
BER_h0,HAM_h0,204,224,udp,1.0,0.002946691082219647,,,
WAR_h0,MAD_h0,304,312,udp,1.0,0.024370822463466953,,,0.0
FRA_h0,LJU_h0,7,19,udp,0.01514041514041514,0.015888179502179547,,,
LON_h0,THE_h0,60002,60002,udp,0.0,,,,
GEN_h0,POR_h0,10,22,tcp,1.0,,0.08815459365649311,8.940125942230225,
LON_h0,GEN_h0,9,21,tcp,1.0,,0.07396265695404025,10.424959659576416,
BIL_h0,BRU_h0,211,231,tcp,1.0,,0.06961629104258443,10.50471305847168,
WAR_h0,PRA_h0,208,228,tcp,1.0,,0.028716828687754464,12.471137523651125,
LON_h0,HAM_h0,308,316,tcp,0.0,,,,
LJU_h0,BER_h0,306,314,tcp,0.0,,,,
AMS_h0,MAR_h0,4,16,tcp,1.0,,0.08245837860931055,8.692548274993896,
MIL_h0,BUD_h0,106,118,tcp,1.0,,0.07382724609148812,23.935397863388058,
MAD_h0,AMS_h0,111,123,tcp,1.0,,0.10057282930655789,12.36733865737915,
BIL_h0,BUD_h0,305,313,tcp,0.0,,,,
AMS_h0,MAR_h0,8,20,tcp,1.0,,0.05804426222865412,9.616011142730713,
LON_h0,GEN_h0,5,17,tcp,1.0,,0.07421299720410066,8.732841014862059,
LON_h0,GEN_h0,1,13,tcp,1.0,,0.06642932380379175,8.509413242340088,
AMS_h0,MAR_h0,12,24,tcp,1.0,,0.09713674249917573,12.734750270843506,
PAR_h0,MAR_h0,212,232,tcp,1.0,,0.06895176764968722,8.462635517120361,
BRA_h0,LON_h0,108,120,tcp,1.0,,0.12969044989403572,17.40141224861145,
BRA_h0,POR_h0,307,315,tcp,0.0,,,,
AMS_h0,VIE_h0,220,240,tcp,1.0,,0.06455549412473637,8.429667711257935,
BRA_h0,LON_h0,112,124,tcp,1.0,,0.09131412891113892,17.494455814361572,
MIL_h0,BUD_h0,102,114,tcp,1.0,,0.08436877003765465,50.08651924133301,
BRA_h0,LON_h0,104,116,tcp,1.0,,0.0962885313376988,11.890073776245115,
BRA_h0,MIL_h0,214,234,tcp,1.0,,0.07254678954334877,10.60384964942932,
MAD_h0,AMS_h0,107,119,tcp,1.0,,0.07133917938808373,13.082526445388794,
PRA_h0,VIE_h0,205,225,tcp,1.0,,0.06420690173638516,8.469150066375732,
MAD_h0,AMS_h0,103,115,tcp,1.0,,0.06047452987090964,9.465404033660887,
GEN_h0,POR_h0,2,14,tcp,1.0,,0.08943724222350231,9.635757684707643,
VIE_h0,ZAG_h0,216,236,tcp,1.0,,0.07290567787031528,8.491914033889769,
MIL_h0,BUD_h0,110,122,tcp,1.0,,0.08068096131761861,12.377273559570312,
GEN_h0,POR_h0,6,18,tcp,1.0,,0.08168715918487891,11.645535230636597,
BRU_h0,PAR_h0,203,223,tcp,1.0,,0.08603478991345866,13.210662841796875,
MIL_h0,LJU_h0,206,226,tcp,1.0,,0.07036125566343042,8.272151470184326,
