src,dst,sport,dport,protocol,prr,delay,rtt,fct,wpr
BRU_h0,MIL_h0,219,239,udp,0.9892551892551893,0.14337233536568902,,,
MIL_h0,ZAG_h0,217,237,udp,0.9997557997557998,0.008066230479484078,,,
HAM_h0,PRA_h0,218,238,udp,1.0,0.013316213051186958,,,
VIE_h0,ZAG_h0,60003,60003,udp,0.0,,,,
SIN_h0,MAD_h0,210,230,udp,1.0,0.008067623075548109,,,
LIS_h0,MAD_h0,201,221,udp,1.0,0.0054751818287794695,,,
BIL_h0,PAR_h0,202,222,udp,1.0,0.025947923101348316,,,
GEN_h0,PRA_h0,303,311,udp,0.9340390879478827,0.027264506274342223,,,1.0
THE_h0,ZAG_h0,215,235,udp,1.0,0.008737343426006908,,,
LIS_h0,MAD_h0,60001,60001,udp,0.0,,,,
FRA_h0,LJU_h0,3,15,udp,0.014163614163614164,0.026035206071261703,,,
SIN_h0,POR_h0,209,229,udp,1.0,0.005606498357286092,,,
FRA_h0,LJU_h0,11,23,udp,0.013675213675213675,0.01589051740510123,,,
BEL_h0,SOF_h0,207,227,udp,1.0,0.0029104413275899176,,,
MAR_h0,PRA_h0,101,113,udp,0.0,,,,
MAR_h0,PRA_h0,105,117,udp,0.0,,,,
AMS_h0,BUC_h0,302,310,udp,1.0,0.04397207593160962,,,0.0
FRA_h0,BUD_h0,60011,60012,udp,0.0,,,,
LIS_h0,THE_h0,301,309,udp,1.0,0.042205225284641705,,,1.0
MAR_h0,PRA_h0,109,121,udp,0.0,,,,
BUC_h0,BEL_h0,213,233,udp,1.0,0.00604380507463355,,,
BER_h0,HAM_h0,204,224,udp,1.0,0.0029024687733260122,,,
WAR_h0,MAD_h0,304,312,udp,1.0,0.025684632415584947,,,0.0
FRA_h0,LJU_h0,7,19,udp,0.01733821733821734,0.015876403996642207,,,
LON_h0,THE_h0,60002,60002,udp,0.0,,,,
GEN_h0,POR_h0,10,22,tcp,1.0,,0.07868409168322453,10.462772846221924,
LON_h0,GEN_h0,9,21,tcp,1.0,,0.06777932133131619,10.523248195648193,
BIL_h0,BRU_h0,211,231,tcp,1.0,,0.06783327237926974,8.437501430511475,
WAR_h0,PRA_h0,208,228,tcp,1.0,,0.028675275576036868,12.45724606513977,
LON_h0,HAM_h0,308,316,tcp,0.0,,,,
LJU_h0,BER_h0,306,314,tcp,0.0,,,,
AMS_h0,MAR_h0,4,16,tcp,1.0,,0.06651753197158082,9.230722665786745,
MIL_h0,BUD_h0,106,118,tcp,1.0,,0.08101139629057187,28.304762840271,
MAD_h0,AMS_h0,111,123,tcp,1.0,,0.10031555476485149,15.049060344696045,
BIL_h0,BUD_h0,305,313,tcp,0.0,,,,
AMS_h0,MAR_h0,8,20,tcp,1.0,,0.06427651681265895,9.465524673461914,
LON_h0,GEN_h0,5,17,tcp,1.0,,0.07811936311844078,8.92735242843628,
LON_h0,GEN_h0,1,13,tcp,1.0,,0.06368232941884974,8.602252960205076,
AMS_h0,MAR_h0,12,24,tcp,1.0,,0.08680903342618385,12.923204898834227,
PAR_h0,MAR_h0,212,232,tcp,1.0,,0.07559553265044815,8.494275331497192,
BRA_h0,LON_h0,108,120,tcp,1.0,,0.11727216147488875,20.95469236373901,
BRA_h0,POR_h0,307,315,tcp,0.0,,,,
AMS_h0,VIE_h0,220,240,tcp,1.0,,0.07883558602309743,8.377770662307741,
BRA_h0,LON_h0,112,124,tcp,1.0,,0.1278438065906991,17.191402196884155,
MIL_h0,BUD_h0,102,114,tcp,1.0,,0.0918043924632353,48.35924172401428,
BRA_h0,LON_h0,104,116,tcp,1.0,,0.12625712214137214,15.217787742614744,
BRA_h0,MIL_h0,214,234,tcp,1.0,,0.07399208108108107,9.741761207580566,
MAD_h0,AMS_h0,107,119,tcp,1.0,,0.07147085996180777,13.3918137550354,
PRA_h0,VIE_h0,205,225,tcp,1.0,,0.06984933587562335,8.283747434616089,
MAD_h0,AMS_h0,103,115,tcp,1.0,,0.07341417113893857,10.10264778137207,
GEN_h0,POR_h0,2,14,tcp,1.0,,0.08942885191900876,10.971646547317505,
VIE_h0,ZAG_h0,216,236,tcp,1.0,,0.07025971087216248,11.208379745483398,
MIL_h0,BUD_h0,110,122,tcp,1.0,,0.08226213756357471,13.473123550415039,
GEN_h0,POR_h0,6,18,tcp,1.0,,0.06877180950404649,8.825117588043213,
BRU_h0,PAR_h0,203,223,tcp,1.0,,0.09282676530005941,13.218945026397705,
MIL_h0,LJU_h0,206,226,tcp,1.0,,0.07453616306584362,8.358619928359985,
