src,dst,sport,dport,protocol,prr,delay,rtt,fct,wpr
BRU_h0,MIL_h0,219,239,udp,0.9938949938949939,0.1392822487641318,,,
MIL_h0,ZAG_h0,217,237,udp,0.9992673992673993,0.008075680725735303,,,
HAM_h0,PRA_h0,218,238,udp,1.0,0.013358235679412208,,,
VIE_h0,ZAG_h0,60003,60003,udp,0.0,,,,
SIN_h0,MAD_h0,210,230,udp,1.0,0.008028579660678813,,,
LIS_h0,MAD_h0,201,221,udp,1.0,0.005525997066381359,,,
BIL_h0,PAR_h0,202,222,udp,1.0,0.011309878730075263,,,
GEN_h0,PRA_h0,303,311,udp,1.0,0.03522292041623243,,,1.0
THE_h0,ZAG_h0,215,235,udp,1.0,0.009012128960373055,,,
LIS_h0,MAD_h0,60001,60001,udp,0.0,,,,
FRA_h0,LJU_h0,3,15,udp,0.015384615384615385,0.014662992386590867,,,
SIN_h0,POR_h0,209,229,udp,1.0,0.005708940270765069,,,
FRA_h0,LJU_h0,11,23,udp,0.017582417582417582,0.015859156847000122,,,
BEL_h0,SOF_h0,207,227,udp,1.0,0.0029586284879654172,,,
MAR_h0,PRA_h0,101,113,udp,0.0,,,,
MAR_h0,PRA_h0,105,117,udp,0.0,,,,
AMS_h0,BUC_h0,302,310,udp,1.0,0.05712164219773587,,,0.0
FRA_h0,BUD_h0,60011,60012,udp,0.0,,,,
LIS_h0,THE_h0,301,309,udp,1.0,0.04246694184748643,,,1.0
MAR_h0,PRA_h0,109,121,udp,0.0,,,,
BUC_h0,BEL_h0,213,233,udp,1.0,0.006435114647442604,,,
BER_h0,HAM_h0,204,224,udp,1.0,0.002923654956840916,,,
WAR_h0,MAD_h0,304,312,udp,1.0,0.024388617583183905,,,0.0
FRA_h0,LJU_h0,7,19,udp,0.01391941391941392,0.016082399769833212,,,
LON_h0,THE_h0,60002,60002,udp,0.0,,,,
GEN_h0,POR_h0,10,22,tcp,1.0,,0.0793009304416821,8.887603044509886,
LON_h0,GEN_h0,9,21,tcp,1.0,,0.07304918080289768,10.537357807159424,
BIL_h0,BRU_h0,211,231,tcp,1.0,,0.09412987555687556,9.281128883361816,
WAR_h0,PRA_h0,208,228,tcp,1.0,,0.02873153462258266,12.461870670318605,
LON_h0,HAM_h0,308,316,tcp,0.0,,,,
LJU_h0,BER_h0,306,314,tcp,0.0,,,,
AMS_h0,MAR_h0,4,16,tcp,1.0,,0.07790300710032065,9.5114643573761,
MIL_h0,BUD_h0,106,118,tcp,1.0,,0.07146265904669262,24.873070478439328,
MAD_h0,AMS_h0,111,123,tcp,1.0,,0.10727089413225706,14.312562465667725,
BIL_h0,BUD_h0,305,313,tcp,0.0,,,,
AMS_h0,MAR_h0,8,20,tcp,1.0,,0.063962720628209,10.778694152832033,
LON_h0,GEN_h0,5,17,tcp,1.0,,0.08047534619952494,9.513662338256836,
LON_h0,GEN_h0,1,13,tcp,1.0,,0.06996072188815394,8.492663145065308,
AMS_h0,MAR_h0,12,24,tcp,1.0,,0.08862238842975208,12.48888373374939,
PAR_h0,MAR_h0,212,232,tcp,1.0,,0.05863677965673902,8.651166439056396,
BRA_h0,LON_h0,108,120,tcp,1.0,,0.14169247498736737,22.9459228515625,
BRA_h0,POR_h0,307,315,tcp,0.0,,,,
AMS_h0,VIE_h0,220,240,tcp,1.0,,0.07624273084384094,8.731244802474977,
BRA_h0,LON_h0,112,124,tcp,1.0,,0.11744321163748712,18.01008701324463,
MIL_h0,BUD_h0,102,114,tcp,1.0,,0.07707768687643898,49.724826097488396,
BRA_h0,LON_h0,104,116,tcp,1.0,,0.09774322753503709,10.906473636627195,
BRA_h0,MIL_h0,214,234,tcp,1.0,,0.0706845666422108,11.343605279922485,
MAD_h0,AMS_h0,107,119,tcp,1.0,,0.06853513890675242,10.095223665237429,
PRA_h0,VIE_h0,205,225,tcp,1.0,,0.06338672106205251,8.409849882125853,
MAD_h0,AMS_h0,103,115,tcp,1.0,,0.062959390070922,17.43165397644043,
GEN_h0,POR_h0,2,14,tcp,1.0,,0.05295102447231569,12.559613227844238,
VIE_h0,ZAG_h0,216,236,tcp,1.0,,0.08440329890453835,8.560318946838379,
MIL_h0,BUD_h0,110,122,tcp,1.0,,0.09052615607476636,11.13036012649536,
GEN_h0,POR_h0,6,18,tcp,1.0,,0.07403368543046358,11.115367889404297,
BRU_h0,PAR_h0,203,223,tcp,1.0,,0.09366127377777778,13.241906881332396,
MIL_h0,LJU_h0,206,226,tcp,1.0,,0.07257232556080283,8.309496641159058,
