src,dst,sport,dport,protocol,prr,delay,rtt,fct,wpr
BRU_h0,MIL_h0,219,239,udp,0.9960927960927961,0.1413127837095754,,,
MIL_h0,ZAG_h0,217,237,udp,1.0,0.008162144834450895,,,
HAM_h0,PRA_h0,218,238,udp,1.0,0.013381369035322587,,,
VIE_h0,ZAG_h0,60003,60003,udp,0.0,,,,
SIN_h0,MAD_h0,210,230,udp,1.0,0.008143642795828236,,,
LIS_h0,MAD_h0,201,221,udp,1.0,0.005451891797802824,,,
BIL_h0,PAR_h0,202,222,udp,1.0,0.011952851246086981,,,
GEN_h0,PRA_h0,303,311,udp,0.999185667752443,0.028994073106101984,,,1.0
THE_h0,ZAG_h0,215,235,udp,1.0,0.008458806772662898,,,
LIS_h0,MAD_h0,60001,60001,udp,0.0,,,,
FRA_h0,LJU_h0,3,15,udp,0.012698412698412698,0.02443248492020827,,,
SIN_h0,POR_h0,209,229,udp,1.0,0.005671069560906826,,,
FRA_h0,LJU_h0,11,23,udp,0.01391941391941392,0.016239413043908905,,,
BEL_h0,SOF_h0,207,227,udp,1.0,0.002981421593230724,,,
MAR_h0,PRA_h0,101,113,udp,0.0,,,,
MAR_h0,PRA_h0,105,117,udp,0.0,,,,
AMS_h0,BUC_h0,302,310,udp,1.0,0.04605344305399428,,,0.0
FRA_h0,BUD_h0,60011,60012,udp,0.0,,,,
LIS_h0,THE_h0,301,309,udp,1.0,0.04252366215209215,,,1.0
MAR_h0,PRA_h0,109,121,udp,0.0,,,,
BUC_h0,BEL_h0,213,233,udp,1.0,0.005794015996185414,,,
BER_h0,HAM_h0,204,224,udp,1.0,0.002861966784038241,,,
WAR_h0,MAD_h0,304,312,udp,1.0,0.028370695184087403,,,0.0
FRA_h0,LJU_h0,7,19,udp,0.015384615384615385,0.01591237007625519,,,
LON_h0,THE_h0,60002,60002,udp,0.0,,,,
GEN_h0,POR_h0,10,22,tcp,1.0,,0.07133501906274821,8.502941370010376,
LON_h0,GEN_h0,9,21,tcp,1.0,,0.08338891736276849,10.348024368286133,
BIL_h0,BRU_h0,211,231,tcp,1.0,,0.07515992629686698,8.403151750564575,
WAR_h0,PRA_h0,208,228,tcp,1.0,,0.027985030483972342,12.469433784484865,
LON_h0,HAM_h0,308,316,tcp,0.0,,,,
LJU_h0,BER_h0,306,314,tcp,0.0,,,,
AMS_h0,MAR_h0,4,16,tcp,1.0,,0.07604551984597156,8.817782640457152,
MIL_h0,BUD_h0,106,118,tcp,1.0,,0.07532457605177993,25.066591262817386,
MAD_h0,AMS_h0,111,123,tcp,1.0,,0.09514777063935444,13.057803869247437,
BIL_h0,BUD_h0,305,313,tcp,0.0,,,,
AMS_h0,MAR_h0,8,20,tcp,1.0,,0.06685226259499015,9.53520917892456,
LON_h0,GEN_h0,5,17,tcp,1.0,,0.0532753625,12.399145603179932,
LON_h0,GEN_h0,1,13,tcp,1.0,,0.06454207324455205,8.605399370193481,
AMS_h0,MAR_h0,12,24,tcp,1.0,,0.08279416720674013,10.108194828033447,
PAR_h0,MAR_h0,212,232,tcp,1.0,,0.07339404740957967,8.445083379745482,
BRA_h0,LON_h0,108,120,tcp,1.0,,0.14226795863409217,18.725727558135983,
BRA_h0,POR_h0,307,315,tcp,0.0,,,,
AMS_h0,VIE_h0,220,240,tcp,1.0,,0.06230763393393393,8.566187858581543,
BRA_h0,LON_h0,112,124,tcp,1.0,,0.09265444563552833,17.580858945846558,
MIL_h0,BUD_h0,102,114,tcp,1.0,,0.0813370917220235,52.07378125190735,
BRA_h0,LON_h0,104,116,tcp,1.0,,0.08565446479298881,10.372422695159912,
BRA_h0,MIL_h0,214,234,tcp,1.0,,0.084371431360769,10.78788709640503,
MAD_h0,AMS_h0,107,119,tcp,1.0,,0.07656489450127878,13.567742347717285,
PRA_h0,VIE_h0,205,225,tcp,1.0,,0.06772099879481772,8.354631185531616,
MAD_h0,AMS_h0,103,115,tcp,1.0,,0.06529433429311834,9.133365154266356,
GEN_h0,POR_h0,2,14,tcp,1.0,,0.07264662428269404,11.099498987197876,
VIE_h0,ZAG_h0,216,236,tcp,1.0,,0.06722992464114831,8.619234800338745,
MIL_h0,BUD_h0,110,122,tcp,1.0,,0.0851054780876494,11.305285215377808,
GEN_h0,POR_h0,6,18,tcp,1.0,,0.07287836678876679,9.677206277847288,
BRU_h0,PAR_h0,203,223,tcp,1.0,,0.09017447474747474,13.229529619216919,
MIL_h0,LJU_h0,206,226,tcp,1.0,,0.06982603625110523,8.274883270263674,
