src,dst,sport,dport,protocol,prr,delay,rtt,fct,wpr
BRU_h0,MIL_h0,219,239,udp,0.9958485958485959,0.12540563465977136,,,
MIL_h0,ZAG_h0,217,237,udp,0.9975579975579976,0.05990937757083514,,,
HAM_h0,PRA_h0,218,238,udp,1.0,0.013284451213366237,,,
VIE_h0,ZAG_h0,60003,60003,udp,0.0,,,,
SIN_h0,MAD_h0,210,230,udp,1.0,0.008130967486035692,,,
LIS_h0,MAD_h0,201,221,udp,1.0,0.005451802776555584,,,
BIL_h0,PAR_h0,202,222,udp,1.0,0.008001684996962402,,,
GEN_h0,PRA_h0,303,311,udp,0.992671009771987,0.07434755001427992,,,1.0
THE_h0,ZAG_h0,215,235,udp,1.0,0.008898480383904426,,,
LIS_h0,MAD_h0,60001,60001,udp,0.0,,,,
FRA_h0,LJU_h0,3,15,udp,0.015873015873015872,0.04740559504582332,,,
SIN_h0,POR_h0,209,229,udp,1.0,0.005600065655178494,,,
FRA_h0,LJU_h0,11,23,udp,0.017582417582417582,0.02457484271791246,,,
BEL_h0,SOF_h0,207,227,udp,1.0,0.0029675721831083006,,,
MAR_h0,PRA_h0,101,113,udp,0.0,,,,
MAR_h0,PRA_h0,105,117,udp,0.0,,,,
AMS_h0,BUC_h0,302,310,udp,0.9987789987789988,0.05499534676885255,,,0.0
FRA_h0,BUD_h0,60011,60012,udp,0.0,,,,
LIS_h0,THE_h0,301,309,udp,1.0,0.07359951574236956,,,1.0
MAR_h0,PRA_h0,109,121,udp,0.0,,,,
BUC_h0,BEL_h0,213,233,udp,1.0,0.006267602044875223,,,
BER_h0,HAM_h0,204,224,udp,1.0,0.0029423268286736456,,,
WAR_h0,MAD_h0,304,312,udp,1.0,0.024769654775307057,,,0.0
FRA_h0,LJU_h0,7,19,udp,0.013675213675213675,0.03277731793267386,,,
LON_h0,THE_h0,60002,60002,udp,0.0,,,,
GEN_h0,POR_h0,10,22,tcp,1.0,,0.1105286269889841,16.259498834609985,
LON_h0,GEN_h0,9,21,tcp,1.0,,0.09949594397939472,11.555830717086792,
BIL_h0,BRU_h0,211,231,tcp,1.0,,0.08258197176027612,8.833414793014525,
WAR_h0,PRA_h0,208,228,tcp,1.0,,0.028428802496099845,12.449784517288208,
LON_h0,HAM_h0,308,316,tcp,0.0,,,,
LJU_h0,BER_h0,306,314,tcp,0.0,,,,
AMS_h0,MAR_h0,4,16,tcp,1.0,,0.0750866903073286,8.803485870361328,
MIL_h0,BUD_h0,106,118,tcp,1.0,,0.08089845286826175,23.872962713241574,
MAD_h0,AMS_h0,111,123,tcp,1.0,,0.08782332947624848,8.866700410842897,
BIL_h0,BUD_h0,305,313,tcp,0.0,,,,
AMS_h0,MAR_h0,8,20,tcp,1.0,,0.06581927662811929,9.914722681045534,
LON_h0,GEN_h0,5,17,tcp,1.0,,0.062418235362997655,11.576845407485962,
LON_h0,GEN_h0,1,13,tcp,1.0,,0.08803290493186243,15.00113010406494,
AMS_h0,MAR_h0,12,24,tcp,1.0,,0.05797526507840772,9.779608726501463,
PAR_h0,MAR_h0,212,232,tcp,1.0,,0.09729864145827057,12.747476577758787,
BRA_h0,LON_h0,108,120,tcp,1.0,,0.0915412786482335,16.220165014266968,
BRA_h0,POR_h0,307,315,tcp,0.0,,,,
AMS_h0,VIE_h0,220,240,tcp,1.0,,0.05967384349408553,8.476828098297121,
BRA_h0,LON_h0,112,124,tcp,1.0,,0.10834481144781144,17.657722949981693,
MIL_h0,BUD_h0,102,114,tcp,1.0,,0.08143692016169782,58.097703218460076,
BRA_h0,LON_h0,104,116,tcp,1.0,,0.09940409920391917,12.92327332496643,
BRA_h0,MIL_h0,214,234,tcp,1.0,,0.06869569820099256,9.421402215957643,
MAD_h0,AMS_h0,107,119,tcp,1.0,,0.09187068333333333,11.711555480957033,
PRA_h0,VIE_h0,205,225,tcp,1.0,,0.06961871746442432,8.344085931777954,
MAD_h0,AMS_h0,103,115,tcp,1.0,,0.08699803113903305,8.70795464515686,
GEN_h0,POR_h0,2,14,tcp,1.0,,0.11093497751770866,20.151883363723755,
VIE_h0,ZAG_h0,216,236,tcp,1.0,,0.07647611832061069,10.084432363510134,
MIL_h0,BUD_h0,110,122,tcp,1.0,,0.10592919089264174,15.246783018112184,
GEN_h0,POR_h0,6,18,tcp,1.0,,0.08274863310427248,9.26318860054016,
BRU_h0,PAR_h0,203,223,tcp,1.0,,0.0907899393939394,13.25348687171936,
MIL_h0,LJU_h0,206,226,tcp,1.0,,0.08095756470588235,8.342572450637817,
