src,dst,sport,dport,protocol,prr,delay,rtt,fct,wpr
BRU_h0,MIL_h0,219,239,udp,0.9926739926739927,0.12825476838800448,,,
MIL_h0,ZAG_h0,217,237,udp,0.9997557997557998,0.008182112566133097,,,
HAM_h0,PRA_h0,218,238,udp,1.0,0.01338149042793246,,,
VIE_h0,ZAG_h0,60003,60003,udp,0.0,,,,
SIN_h0,MAD_h0,210,230,udp,1.0,0.008059196099547966,,,
LIS_h0,MAD_h0,201,221,udp,1.0,0.00544145977686322,,,
BIL_h0,PAR_h0,202,222,udp,0.9992673992673993,0.06190459323884921,,,
GEN_h0,PRA_h0,303,311,udp,0.998371335504886,0.03105729536364557,,,1.0
THE_h0,ZAG_h0,215,235,udp,1.0,0.008506434304373605,,,
LIS_h0,MAD_h0,60001,60001,udp,0.0,,,,
FRA_h0,LJU_h0,3,15,udp,0.011965811965811967,0.022429354336796974,,,
SIN_h0,POR_h0,209,229,udp,1.0,0.005633385161049346,,,
FRA_h0,LJU_h0,11,23,udp,0.01391941391941392,0.015925788042838115,,,
BEL_h0,SOF_h0,207,227,udp,1.0,0.0029144798297439595,,,
MAR_h0,PRA_h0,101,113,udp,0.0,,,,
MAR_h0,PRA_h0,105,117,udp,0.0,,,,
AMS_h0,BUC_h0,302,310,udp,1.0,0.04596377467061137,,,0.0
FRA_h0,BUD_h0,60011,60012,udp,0.0,,,,
LIS_h0,THE_h0,301,309,udp,1.0,0.042256005527337784,,,1.0
MAR_h0,PRA_h0,109,121,udp,0.0,,,,
BUC_h0,BEL_h0,213,233,udp,1.0,0.005827301733368628,,,
BER_h0,HAM_h0,204,224,udp,1.0,0.0028985580099662434,,,
WAR_h0,MAD_h0,304,312,udp,1.0,0.024193573114632976,,,0.0
FRA_h0,LJU_h0,7,19,udp,0.01904761904761905,0.015857002674004972,,,
LON_h0,THE_h0,60002,60002,udp,0.0,,,,
GEN_h0,POR_h0,10,22,tcp,1.0,,0.08063280492638732,9.402263879776,
LON_h0,GEN_h0,9,21,tcp,1.0,,0.06615506844336765,10.718658685684202,
BIL_h0,BRU_h0,211,231,tcp,1.0,,0.09604677884615384,10.312541961669922,
WAR_h0,PRA_h0,208,228,tcp,1.0,,0.028453413793103448,12.460415124893188,
LON_h0,HAM_h0,308,316,tcp,0.0,,,,
LJU_h0,BER_h0,306,314,tcp,0.0,,,,
AMS_h0,MAR_h0,4,16,tcp,1.0,,0.07403563190954773,8.921578884124756,
MIL_h0,BUD_h0,106,118,tcp,1.0,,0.08223441239193083,25.13529992103577,
MAD_h0,AMS_h0,111,123,tcp,1.0,,0.10217878511367175,16.998141050338745,
BIL_h0,BUD_h0,305,313,tcp,0.0,,,,
AMS_h0,MAR_h0,8,20,tcp,1.0,,0.05440046101060512,9.573519229888916,
LON_h0,GEN_h0,5,17,tcp,1.0,,0.0886394590670374,8.448938369750978,
LON_h0,GEN_h0,1,13,tcp,1.0,,0.048282659387321805,8.545148611068727,
AMS_h0,MAR_h0,12,24,tcp,1.0,,0.09479234140598722,9.707050085067747,
PAR_h0,MAR_h0,212,232,tcp,1.0,,0.06928763127357122,8.602376699447634,
BRA_h0,LON_h0,108,120,tcp,1.0,,0.13046013591635916,17.832048177719113,
BRA_h0,POR_h0,307,315,tcp,0.0,,,,
AMS_h0,VIE_h0,220,240,tcp,1.0,,0.07944665360880064,8.555524349212646,
BRA_h0,LON_h0,112,124,tcp,1.0,,0.13189296213268706,15.675939559936525,
MIL_h0,BUD_h0,102,114,tcp,1.0,,0.09491879478119054,49.254103899002075,
BRA_h0,LON_h0,104,116,tcp,1.0,,0.08212564841075795,10.018511533737184,
BRA_h0,MIL_h0,214,234,tcp,1.0,,0.07954874046965539,10.340880155563353,
MAD_h0,AMS_h0,107,119,tcp,1.0,,0.07525305134610047,10.062495231628418,
PRA_h0,VIE_h0,205,225,tcp,1.0,,0.06687208197530864,8.359917163848879,
MAD_h0,AMS_h0,103,115,tcp,1.0,,0.07238326809815951,13.337385416030884,
GEN_h0,POR_h0,2,14,tcp,1.0,,0.07932804031783403,9.512895345687868,
VIE_h0,ZAG_h0,216,236,tcp,1.0,,0.056236569996963255,8.515142679214478,
MIL_h0,BUD_h0,110,122,tcp,1.0,,0.09212488204005005,12.85844349861145,
GEN_h0,POR_h0,6,18,tcp,1.0,,0.0727145577606635,9.615092277526855,
BRU_h0,PAR_h0,203,223,tcp,1.0,,0.08379455746445498,13.226732969284058,
MIL_h0,LJU_h0,206,226,tcp,1.0,,0.06526878424329502,8.382734537124634,
